datetime;open;high;low;close;volume
2022-04-29 13:30:00;901.06012;905.79999;870.00000;870.17999;7617095
2022-04-29 09:30:00;902.25000;934.39990;890.09003;901.30499;19870699
2022-04-28 13:30:00;865.69000;895.19000;861.25000;877.51001;12040872
2022-04-28 09:30:00;899.97998;900.00000;821.70001;865.57001;27957108
2022-04-27 13:30:00;902.32001;903.67999;877.35999;881.87000;6608080
2022-04-27 09:30:00;898.58002;917.96002;881.52002;902.37000;18222214
2022-04-26 13:30:00;889.56000;899.47998;875.00000;876.41998;11578169
2022-04-26 09:30:00;995.42999;1000.00000;885.29999;889.84998;31578648
2022-04-25 13:30:00;997.28998;1006.79498;979.00000;998.28998;7665066
2022-04-25 09:30:00;978.96997;1008.62000;975.29999;997.28003;14336866
2022-04-22 13:30:00;1008.26001;1015.90002;1001.95001;1004.99500;6346558
2022-04-22 09:30:00;1014.46997;1034.50000;994.28998;1008.71002;0
2022-04-21 13:30:00;1039.44141;1041.32996;996.43988;1008.78003;9724866
2022-04-21 09:30:00;1074.95300;1090.50000;1030.00000;1039.97900;24725859
2022-04-20 13:30:00;985.27002;991.29993;975.25012;976.98999;5218779
2022-04-20 09:30:00;1030.00000;1034.00000;978.00000;985.28003;14015739
2022-04-19 13:30:00;1020.77002;1029.63000;1017.78003;1028.09998;4854434
2022-04-19 09:30:00;1005.06000;1034.93994;995.72742;1020.47498;10964970
2022-04-18 13:30:00;994.98993;1014.91998;994.07001;1004.70001;5399546
2022-04-18 09:30:00;989.03003;1009.61987;974.00000;994.61011;11192470
2022-04-14 13:30:00;985.06000;998.00000;984.07501;984.96002;17966136
2022-04-14 09:30:00;999.35999;1011.87000;982.25000;985.46997;0
2022-04-13 13:30:00;1015.41998;1026.23999;1008.33002;1022.37000;5333959
2022-04-13 09:30:00;981.07501;1018.70001;973.09698;1014.95001;12213444
2022-04-12 13:30:00;999.03998;1001.00000;976.60010;986.95001;5586793
2022-04-12 09:30:00;997.64001;1021.19208;988.20001;998.55371;15523512
2022-04-11 13:30:00;990.17999;994.29993;974.76001;975.92999;4782836
2022-04-11 09:30:00;980.40002;1008.46808;976.00000;990.11011;13840889
2022-04-08 13:30:00;1033.11902;1037.46985;1025.06006;1025.80005;3971622
2022-04-08 09:30:00;1043.20996;1048.43994;1022.43500;1032.89270;13220099
2022-04-07 13:30:00;1035.66003;1063.43994;1033.68005;1056.82996;0
2022-04-07 09:30:00;1054.20996;1076.00000;1025.10999;1033.77002;0
2022-04-06 13:30:00;1033.95996;1064.93994;1032.88000;1045.54004;11210209
2022-04-06 09:30:00;1073.46997;1079.00000;1027.69995;1034.00000;17751931
2022-04-05 13:30:00;1102.36267;1108.76001;1087.30005;1091.16003;6249749
2022-04-05 09:30:00;1136.30005;1152.56995;1090.08997;1102.93506;19412729
2022-04-04 13:30:00;1144.05835;1149.91003;1136.35315;1145.54004;7766155
2022-04-04 09:30:00;1089.38000;1144.39001;1073.00000;1144.19226;18472243
